year,postcode,suburb,emission_source,total_electricity,total_gas,intensity_per_annum_kwh_per_customer,intensity_per_annum_gj_per_customer,intensity_per_day_kwh_per_customer,intensity_per_day_gj_per_customer,scope_1,scope_2,scope_3,total_emissions,avg_emissions_per_customer,avg_emissions_per_customer_per_day,total_cost,avg_cost_intensity_per_day,avg_cost_intensity_per_month,avg_cost_intensity_per_annum,no_of_individuals_income_tax,avg_salary,median_salary,avg_net_rent
2022,3156,Lysterfield South,Gas,,13345,,58,,159,687716,,53383,741100,3236,8,417302.1106,4.992547833,151.8566633,1822.279959,23589,58611,51229,-3372
2021,3156,Lysterfield South,Gas,,13345,,58,,159,687716,,53383,741100,3236,8,417302.1106,4.992547833,151.8566633,1822.279959,23589,58611,51229,-3372
2021,3156,Lysterfield South,Electricity,2454849,,9478,,25,,,2356655,245484,2602140,10046,27,786235.7402,8.316874598,252.9716024,3035.659228,23589,58611,51229,-3372
2022,3156,Lysterfield South,Electricity,2454849,,9441,,26,,,2086621,171839,2258461,8686,23,786672.5046,8.289488984,252.1386233,3025.663479,23589,58611,51229,-3372
2020,3156,Lysterfield South,Gas,,13345,,58,,159,687716,,53383,741100,3236,8,403526.6463,4.827739981,146.8437578,1762.125093,23589,58611,51229,-3372
2020,3156,Lysterfield South,Electricity,2421938,,9244,,25,,,2373499,266413,2639912,10076,27,673828.3944,7.046203016,214.3220084,2571.864101,23589,58611,51229,-3372
2022,3177,Doveton and Eumemmerring,Electricity,17209131,,3727,,10,,,14627761,1204639,15832401,3429,9,6735841.124,3.997045537,121.5768017,1458.921621,5412,44222,43504,-2980
2020,3177,Doveton and Eumemmerring,Gas,,194565,,41,,114,10025954,,778261,10804216,2328,6,6374056.114,3.763613671,114.4765825,1373.71899,5412,44222,43504,-2980
2021,3177,Doveton and Eumemmerring,Electricity,16221872,,3586,,9,,,15572997,1622187,17195184,3801,10,6424083.357,3.891273132,118.3595578,1420.314693,5412,44222,43504,-2980
2022,3177,Doveton and Eumemmerring,Gas,,194565,,41,,114,10025954,,778261,10804216,2328,6,6517402.566,3.848253759,117.0510518,1404.612622,5412,44222,43504,-2980
2020,3177,Doveton and Eumemmerring,Electricity,16768410,,3691,,10,,,16433041,1844525,18277566,4024,11,5376925.604,3.243292107,98.65013492,1183.801619,5412,44222,43504,-2980
2021,3177,Doveton and Eumemmerring,Gas,,194565,,41,,114,10025954,,778261,10804216,2328,6,6517402.566,3.848253759,117.0510518,1404.612622,5412,44222,43504,-2980
2020,3802,Endeavour Hills,Gas,,520361,,61,,167,26814212,,2081444,28895656,3389,9,15581579.53,5.006950387,152.2947409,1827.536891,14030,52943,48660,-2125
2022,3802,Endeavour Hills,Gas,,520361,,61,,167,26814212,,2081444,28895656,3389,9,16136475.27,5.18525936,157.7183055,1892.619666,14030,52943,48660,-2125
2022,3802,Endeavour Hills,Electricity,37275932,,4338,,11,,,31684542,2609315,34293857,3991,10,13974607.24,4.456118078,135.5402582,1626.483098,14030,52943,48660,-2125
2021,3802,Endeavour Hills,Electricity,36598752,,4292,,11,,,35134802,3659875,38794677,4549,12,13760355.94,4.421463124,134.48617,1613.83404,14030,52943,48660,-2125
2020,3802,Endeavour Hills,Electricity,37133916,,4346,,11,,,36391237,4084730,40475968,4738,12,11511894.22,3.691953554,112.2969206,1347.563047,14030,52943,48660,-2125
2021,3802,Endeavour Hills,Gas,,520361,,61,,167,26814212,,2081444,28895656,3389,9,16136475.27,5.18525936,157.7183055,1892.619666,14030,52943,48660,-2125
2020,3803,Hallam,Gas,,194472,,51,,141,10021190,,777891,10799081,2863,7,6043889.981,2.137053477,65.00204325,780.024519,5801,49486,46701,-3036
2022,3803,Hallam,Electricity,15148750,,3921,,10,,,12876437,1060412,13936850,3607,9,5841654.248,4.142541972,126.0023183,1512.02782,5801,49486,46701,-3036
2021,3803,Hallam,Gas,,192935,,50,,139,9941984,,771743,10713728,2831,7,6190510.251,4.482109423,136.3308283,1635.96994,5801,49486,46701,-3036
2022,3803,Hallam,Gas,,190366,,50,,137,9809602,,761467,10571069,2778,7,6131869.563,4.415149182,134.294121,1611.529451,5801,49486,46701,-3036
2020,3803,Hallam,Electricity,15799475,,3972,,10,,,15483485,1737942,17221427,4329,11,4987374.297,1.763481072,53.63921593,643.6705912,5801,49486,46701,-3036
2021,3803,Hallam,Electricity,15646970,,4005,,10,,,15021091,1564697,16585788,4245,11,5997171.873,4.205697286,127.9232925,1535.079509,5801,49486,46701,-3036
2022,3804,Narre Warren North,Electricity,18611076,,8049,,22,,,15819415,1302775,17122190,7405,20,6113034.014,7.243610901,220.3264982,2643.917979,5395,60358,48862,-1275
2020,3804,Narre Warren North,Gas,,166954,,81,,223,8603163,,667817,9270980,4529,12,4739396.134,2.961150956,90.06834159,1080.820099,5395,60358,48862,-1275
2021,3804,Narre Warren North,Gas,,165296,,80,,219,8517733,,661186,9178919,4457,12,4909479.231,6.532602249,198.6999851,2384.399821,5395,60358,48862,-1275
2020,3804,Narre Warren North,Electricity,19159882,,8194,,22,,,18776684,2107587,20884271,8932,24,5399848.465,3.373798263,102.6196972,1231.436366,5395,60358,48862,-1275
2022,3804,Narre Warren North,Gas,,160717,,77,,212,8281782,,642870,8924652,4303,11,4797486.833,6.337415402,192.7630518,2313.156622,5395,60358,48862,-1275
2021,3804,Narre Warren North,Electricity,18647172,,8272,,22,,,17901285,1864717,19766002,8769,24,6097536.962,7.411526494,225.4339309,2705.20717,5395,60358,48862,-1275
2021,3805,Narre Warren and Narre Warren South,Electricity,84245111,,4398,,12,,,80875306,8424511,89299817,4661,12,31468216.92,4.500876686,136.9016659,1642.81999,32354,54002,49262,-4597
2022,3805,Narre Warren and Narre Warren South,Gas,,1062896,,56,,154,54771056,,4251586,59022642,3131,8,33437340.9,4.860933522,147.8533946,1774.240735,32354,54002,49262,-4597
2022,3805,Narre Warren and Narre Warren South,Electricity,80303265,,4196,,11,,,68257775,5621228,73879004,3860,10,30379434.74,4.349319743,132.2918089,1587.501706,32354,54002,49262,-4597
2020,3805,Narre Warren and Narre Warren South,Gas,,1107217,,59,,162,57054899,,4428868,61483768,3289,9,33362404.68,2.405617656,73.17087036,878.0504443,32354,54002,49262,-4597
2020,3805,Narre Warren and Narre Warren South,Electricity,85868899,,4448,,12,,,84151521,9445578,93597099,4848,13,26502500.14,1.910979825,58.12563634,697.5076361,32354,54002,49262,-4597
2021,3805,Narre Warren and Narre Warren South,Gas,,1086444,,57,,158,55984494,,4345778,60330273,3210,8,34020668.43,4.960210248,150.8730617,1810.476741,32354,54002,49262,-4597
2022,3806,Berwick and Harkaway,Electricity,83413233,,4448,,12,,,70901248,5838926,76740174,4093,11,31062700.64,4.539097022,138.0642011,1656.770413,29263,60911,52754,-4032
2020,3806,Berwick and Harkaway,Gas,,1067603,,60,,167,55013586,,4270412,59283998,3386,9,31973188.55,2.439234151,74.1933721,890.3204652,29263,60911,52754,-4032
2020,3806,Berwick and Harkaway,Electricity,86626806,,4706,,12,,,84894270,9528948,94423219,5130,14,26457990.49,2.018479761,61.39542605,736.7451127,29263,60911,52754,-4032
2021,3806,Berwick and Harkaway,Gas,,1057852,,59,,162,54511137,,4231409,58742547,3292,9,32973554.38,5.063533723,154.0158174,1848.189809,29263,60911,52754,-4032
2022,3806,Berwick and Harkaway,Gas,,1045830,,57,,156,53891648,,4183322,58074970,3180,8,32805357.8,4.922647202,149.730519,1796.766229,29263,60911,52754,-4032
2021,3806,Berwick and Harkaway,Electricity,85900720,,4729,,12,,,82464692,8590072,91054764,5013,13,31487787.63,4.750174071,144.4844613,1733.813536,29263,60911,52754,-4032
2021,3807,Beaconsfield,Gas,,10516,,62,,170,541889,,42064,583953,3455,9,325002.205,5.268739645,160.2574975,1923.08997,4640,62341,52000,-4566
2022,3807,Beaconsfield,Gas,,9769,,51,,140,503413,,39077,542491,2840,7,313256.3134,4.493384687,136.6737842,1640.085411,4640,62341,52000,-4566
2022,3807,Beaconsfield,Electricity,1094657,,5731,,15,,,930458,76625,1007084,5272,14,383590.3823,5.502264682,167.3605507,2008.326609,4640,62341,52000,-4566
2020,3807,Beaconsfield,Gas,,10473,,64,,176,539680,,41892,581573,3567,9,310359.6364,5.21656671,158.6705708,1904.046849,4640,62341,52000,-4566
2021,3807,Beaconsfield,Electricity,1107768,,5799,,15,,,1063457,110776,1174234,6147,16,387185.2676,5.553830131,168.9289998,2027.147998,4640,62341,52000,-4566
2020,3807,Beaconsfield,Electricity,1094897,,5732,,15,,,1072999,120438,1193438,6248,17,323547.5742,4.641003718,141.1638631,1693.966357,4640,62341,52000,-4566
2020,3912,Pearcedale,Electricity,10112869,,6561,,17,,,9910612,1112415,11023028,7151,19,2930281.301,1.228425168,37.36459886,448.3751863,9388,55702,48771,-1241
2021,3912,Pearcedale,Gas,,63061,,48,,132,3249553,,252245,3501798,2691,7,2044770.26,4.306003305,130.9742672,1571.691206,9388,55702,48771,-1241
2022,3912,Pearcedale,Electricity,8774555,,5761,,15,,,7458372,614218,8072591,5300,14,3071281.326,5.524930654,168.0499741,2016.599689,9388,55702,48771,-1241
2022,3912,Pearcedale,Gas,,60951,,46,,127,3140827,,243805,3384633,2591,7,1992564.5,4.179642412,127.13079,1525.56948,9388,55702,48771,-1241
2020,3912,Pearcedale,Gas,,64778,,50,,137,3338043,,259114,3597158,2792,7,2025244.804,4.3079316,131.0329195,1572.395034,9388,55702,48771,-1241
2021,3912,Pearcedale,Electricity,9311803,,6187,,16,,,8939330,931180,9870511,6558,17,3210715.478,5.844837715,177.7804805,2133.365766,9388,55702,48771,-1241
2022,3975,Lynbrook and Lyndhurst,Gas,,284160,,54,,150,14642784,,1136641,15779426,3046,8,8986506.876,4.75300517,144.5705739,1734.846887,9228,57188,52733,-5825
2020,3975,Lynbrook and Lyndhurst,Electricity,20781457,,3959,,10,,,20365828,2285960,22651788,4315,11,6564589.982,1.752087485,53.292661,639.511932,9228,57188,52733,-5825
2022,3975,Lynbrook and Lyndhurst,Electricity,19452271,,3870,,10,,,16534431,1361659,17896090,3560,9,7529564.632,4.104470881,124.8443226,1498.131872,9228,57188,52733,-5825
2020,3975,Lynbrook and Lyndhurst,Gas,,281119,,56,,153,14486105,,1124479,15610584,3112,8,8572496.013,2.287997121,69.59324576,835.1189492,9228,57188,52733,-5825
2021,3975,Lynbrook and Lyndhurst,Gas,,282095,,55,,151,14536402,,1128383,15664785,3069,8,8908432.946,4.781870221,145.4485525,1745.382631,9228,57188,52733,-5825
2021,3975,Lynbrook and Lyndhurst,Electricity,20825228,,4007,,10,,,19992219,2082522,22074742,4248,11,7980294.825,4.207817829,127.9877923,1535.853507,9228,57188,52733,-5825
2022,3976,Hampton Park,Gas,,395628,,46,,126,20386757,,1582515,21969273,2572,7,12954230.85,4.155859887,126.4074049,1516.888859,13386,48244,46867,-4277
2020,3976,Hampton Park,Gas,,416662,,49,,135,21470599,,1666648,23137247,2736,7,13090893.65,2.101327751,63.91538575,766.984629,13386,48244,46867,-4277
2021,3976,Hampton Park,Gas,,404364,,47,,130,20836880,,1617456,22454337,2648,7,13156753.24,4.251698431,129.3224939,1551.869927,13386,48244,46867,-4277
2022,3976,Hampton Park,Electricity,30033341,,3584,,9,,,25528340,2102333,27630674,3298,9,11895194.99,3.89010978,118.3241725,1419.89007,13386,48244,46867,-4277
2020,3976,Hampton Park,Electricity,32657122,,3791,,10,,,32003980,3592283,35596264,4132,11,10411020.98,1.671159196,50.83109222,609.9731066,13386,48244,46867,-4277
2021,3976,Hampton Park,Electricity,31946772,,3732,,10,,,30668901,3194677,33863578,3956,10,12499537.96,4.000620267,121.6855331,1460.226398,13386,48244,46867,-4277
2020,3977,"Botanic Ridge, Cannons Creek, Cranbourne, Cranbourne East, Cranbourne North, Cranbourne South, Cranbourne West, Devon Meadows and Junction Village",Electricity,141795136,,4137,,11,,,138959234,15597465,154556699,4510,12,44387921.83,1.716849494,52.22083876,626.6500651,58372,54454,50275,-4201
2020,3977,"Botanic Ridge, Cannons Creek, Cranbourne, Cranbourne East, Cranbourne North, Cranbourne South, Cranbourne West, Devon Meadows and Junction Village",Gas,,1786990,,48,,133,92083629,,7147962,99231592,2713,7,56258895.04,2.175998593,66.18662388,794.2394865,58372,54454,50275,-4201
2021,3977,"Botanic Ridge, Cannons Creek, Cranbourne, Cranbourne East, Cranbourne North, Cranbourne South, Cranbourne West, Devon Meadows and Junction Village",Gas,,1793566,,47,,130,92422504,,7174267,99596771,2646,7,58367644.04,4.248893441,129.2371755,1550.846106,58372,54454,50275,-4201
2022,3977,"Botanic Ridge, Cannons Creek, Cranbourne, Cranbourne East, Cranbourne North, Cranbourne South, Cranbourne West, Devon Meadows and Junction Village",Gas,,1789639,,46,,127,92220100,,7158556,99378656,2576,7,58579204,4.160815355,126.5581337,1518.697605,58372,54454,50275,-4201
2022,3977,"Botanic Ridge, Cannons Creek, Cranbourne, Cranbourne East, Cranbourne North, Cranbourne South, Cranbourne West, Devon Meadows and Junction Village",Electricity,165708991,,4156,,11,,,140852642,11599629,152452272,3824,10,62852538.98,4.319758109,131.3926425,1576.71171,58372,54454,50275,-4201
2021,3977,"Botanic Ridge, Cannons Creek, Cranbourne, Cranbourne East, Cranbourne North, Cranbourne South, Cranbourne West, Devon Meadows and Junction Village",Electricity,141777887,,4176,,11,,,136106771,14177788,150284560,4427,12,53706044.35,4.334399138,131.8379738,1582.055685,58372,54454,50275,-4201
2022,3978,Clyde and Clyde North,Gas,,717685,,44,,120,36982354,,2870743,39853098,2449,6,23757771.44,4.0013392,121.7074007,1460.488808,12690,57784,54120,-4067
2020,3978,Clyde and Clyde North,Electricity,44192793,,3182,,8,,,43308937,4861207,48170145,3468,9,14670946.43,1.496439828,45.51671143,546.2005371,12690,57784,54120,-4067
2021,3978,Clyde and Clyde North,Gas,,636136,,43,,119,32780123,,2544546,35324669,2413,6,21131332.43,3.955052702,120.2995197,1443.594236,12690,57784,54120,-4067
2022,3978,Clyde and Clyde North,Electricity,56096283,,3408,,9,,,47681841,3926739,51608580,3135,8,22571815.47,3.757566311,114.292642,1371.511703,12690,57784,54120,-4067
2020,3978,Clyde and Clyde North,Gas,,565930,,43,,119,29162375,,2263720,31426095,2422,6,18342260.53,1.87091469,56.9069885,682.883862,12690,57784,54120,-4067
2021,3978,Clyde and Clyde North,Electricity,49792858,,3744,,10,,,47801143,4979285,52780429,3968,10,19463327.29,4.009638647,121.9598422,1463.518106,12690,57784,54120,-4067
2022,3980,"Blind Bight , Tooradin and Warneet",Gas,,,,0,,0,0,,0,0,,0,0,0,0,0,2015,56210,50752,-765
2020,3980,"Blind Bight , Tooradin and Warneet",Electricity,10809659,,7965,,21,,,10593466,1189062,11782528,8682,23,3056394.503,6.17073218,187.6931038,2252.317246,2015,56210,50752,-765
2021,3980,"Blind Bight , Tooradin and Warneet",Gas,,,,,,,,,0,0,,0,0,0,0,0,2015,56210,50752,-765
2021,3980,"Blind Bight , Tooradin and Warneet",Electricity,10031428,,7873,,21,,,9630171,1003142,10633314,8346,22,3307077.01,7.111840626,216.3184857,2595.821829,2015,56210,50752,-765
2020,3980,"Blind Bight , Tooradin and Warneet",Gas,,,,,,,,,0,0,,0,0,0,0,0,2015,56210,50752,-765
2022,3980,"Blind Bight , Tooradin and Warneet",Electricity,10123172,,7521,,20,,,8604696,708622,9313318,6919,18,3363661.911,6.846955155,208.2615526,2499.138631,2015,56210,50752,-765